X,T,P,Y
0.322,81.2834,0.0702645,0.592483
0.324,81.2627,0.0703071,0.593204
0.326,81.2421,0.0703495,0.593923
0.328,81.2217,0.0703917,0.594639
0.33,81.2015,0.0704337,0.595353
0.332,81.1814,0.0704756,0.596065
0.334,81.1615,0.0705173,0.596775
0.336,81.1417,0.0705589,0.597483
0.338,81.122,0.0706003,0.598189
0.34,81.1025,0.0706416,0.598893
0.342,81.0831,0.0706828,0.599596
0.344,81.0639,0.0707238,0.600297
0.346,81.0447,0.0707647,0.600997
0.348,81.0257,0.0708054,0.601695
0.35,81.0068,0.0708461,0.602392
0.352,80.9881,0.0708866,0.603088
0.354,80.9694,0.0709271,0.603782
0.356,80.9509,0.0709674,0.604476
0.358,80.9324,0.0710077,0.605168
0.36,80.9141,0.0710478,0.60586
0.362,80.8959,0.0710879,0.606551
0.364,80.8778,0.0711279,0.607241
0.366,80.8598,0.0711678,0.607931
0.368,80.8419,0.0712076,0.608619
0.37,80.8241,0.0712473,0.609308
0.372,80.8064,0.071287,0.609996
0.374,80.7888,0.0713266,0.610683
0.376,80.7713,0.0713661,0.611371
0.378,80.7539,0.0714055,0.612058
0.38,80.7366,0.0714449,0.612745
0.382,80.7194,0.0714843,0.613431
0.384,80.7022,0.0715236,0.614118
0.386,80.6852,0.0715628,0.614805
0.388,80.6682,0.071602,0.615492
0.39,80.6513,0.0716411,0.616179
0.392,80.6345,0.0716801,0.616866
0.394,80.6178,0.0717192,0.617553
0.396,80.6012,0.0717581,0.618241
0.398,80.5846,0.0717971,0.618929
0.4,80.5681,0.071836,0.619618
0.402,80.5517,0.0718748,0.620307
0.404,80.5353,0.0719136,0.620996
0.406,80.5191,0.0719524,0.621687
0.408,80.5029,0.0719911,0.622378
0.41,80.4868,0.0720298,0.623069
0.412,80.4707,0.0720685,0.623761
0.414,80.4547,0.0721071,0.624455
0.416,80.4388,0.0721457,0.625149
0.418,80.423,0.0721843,0.625844
0.42,80.4072,0.0722228,0.626539
0.422,80.3915,0.0722613,0.627236
0.424,80.3758,0.0722998,0.627934
0.426,80.3602,0.0723382,0.628633
0.428,80.3447,0.0723766,0.629333
0.43,80.3292,0.072415,0.630035
0.432,80.3138,0.0724534,0.630737
0.434,80.2985,0.0724917,0.631441
0.436,80.2832,0.07253,0.632146
0.438,80.268,0.0725683,0.632853
0.44,80.2528,0.0726065,0.633561
0.442,80.2377,0.0726447,0.63427
0.444,80.2227,0.0726829,0.634981
0.446,80.2077,0.0727211,0.635694
0.448,80.1928,0.0727592,0.636408
0.45,80.1779,0.0727973,0.637123
0.452,80.1631,0.0728354,0.637841
0.454,80.1483,0.0728735,0.63856
0.456,80.1336,0.0729115,0.63928
0.458,80.119,0.0729495,0.640003
0.46,80.1044,0.0729874,0.640727
0.462,80.0898,0.0730254,0.641453
0.464,80.0753,0.0730633,0.642181
0.466,80.0609,0.0731012,0.642911
0.468,80.0465,0.073139,0.643643
0.47,80.0321,0.0731768,0.644377
0.472,80.0179,0.0732146,0.645113
0.474,80.0036,0.0732523,0.645851
0.476,79.9894,0.0732901,0.646591
0.478,79.9753,0.0733277,0.647333
0.48,79.9612,0.0733654,0.648078
0.482,79.9472,0.073403,0.648824
0.484,79.9332,0.0734406,0.649573
0.486,79.9193,0.0734781,0.650324
0.488,79.9054,0.0735156,0.651078
0.49,79.8916,0.0735531,0.651834
0.492,79.8778,0.0735905,0.652592
0.494,79.8641,0.0736279,0.653352
0.496,79.8504,0.0736653,0.654115
0.498,79.8367,0.0737026,0.654881
0.5,79.8231,0.0737398,0.655648
0.502,79.8096,0.0737771,0.656419
0.504,79.7961,0.0738142,0.657192
0.506,79.7827,0.0738514,0.657967
0.508,79.7693,0.0738885,0.658746
0.51,79.7559,0.0739255,0.659527
0.512,79.7427,0.0739625,0.66031
0.514,79.7294,0.0739994,0.661096
0.516,79.7162,0.0740363,0.661885
0.518,79.7031,0.0740731,0.662677
0.52,79.69,0.0741099,0.663472
0.522,79.6769,0.0741466,0.664269
0.524,79.6639,0.0741833,0.665069
0.526,79.651,0.0742199,0.665872
0.528,79.6381,0.0742565,0.666678
0.53,79.6252,0.074293,0.667487
0.532,79.6124,0.0743294,0.668299
0.534,79.5996,0.0743658,0.669114
0.536,79.5869,0.0744021,0.669932
0.538,79.5743,0.0744383,0.670753
0.54,79.5617,0.0744745,0.671577
0.542,79.5491,0.0745106,0.672404
0.544,79.5366,0.0745466,0.673234
0.546,79.5241,0.0745826,0.674068
0.548,79.5117,0.0746185,0.674904
0.55,79.4994,0.0746543,0.675744
0.552,79.4871,0.0746901,0.676587
0.554,79.4748,0.0747257,0.677434
0.556,79.4626,0.0747613,0.678283
